brand,name,slug,category,price,currency,image_url,tags,product_url_sephora,product_url_ulta,product_url_amazon
The Ordinary,Niacinamide 10% + Zinc 1% Serum,the-ordinary-niacinamide-10-zinc-1-serum,Serum,6.9,USD,https://images.example.com/ordinary-niacinamide.jpg,"oil-control,blemish,fragrance-free,vegan",https://www.sephora.com/product/niacinamide-10-zinc-1-P427417,https://www.ulta.com/p/niacinamide-10-zinc-1-pimprod2021429,https://www.amazon.com/dp/B07P9K5X2H
CeraVe,Hydrating Facial Cleanser,cerave-hydrating-facial-cleanser,Cleanser,14.99,USD,https://images.example.com/cerave-hydrating-cleanser.jpg,"gentle,dry-skin,dermatologist-recommended,fragrance-free",https://www.sephora.com/product/cerave-hydrating-facial-cleanser-P100123,https://www.ulta.com/p/hydrating-facial-cleanser-xlsImpprod12731015,https://www.amazon.com/dp/B01MSSDEPK
Paula's Choice,2% BHA Liquid Exfoliant,paulas-choice-2-bha-liquid-exfoliant,Exfoliant,34.0,USD,https://images.example.com/pc-bha.jpg,"blackheads,pores,acne-prone",https://www.sephora.com/product/skin-perfecting-2-bha-liquid-exfoliant-P218900,https://www.ulta.com/p/skin-perfecting-2-bha-liquid-exfoliant-pimprod2011307,https://www.amazon.com/dp/B00949CTQQ
Laneige,Lip Sleeping Mask,laneige-lip-sleeping-mask,Lip Care,24.0,USD,https://images.example.com/laneige-lip-mask.jpg,"overnight,hydrating,berry",https://www.sephora.com/product/lip-sleeping-mask-P439051,https://www.ulta.com/p/lip-sleeping-mask-pimprod2016445,https://www.amazon.com/dp/B07K8YQJ8Q
Sol de Janeiro,Brazilian Bum Bum Cream,sol-de-janeiro-bum-bum-cream,Body,48.0,USD,https://images.example.com/bum-bum.jpg,"firming,body-cream,vanilla-pistachio",https://www.sephora.com/product/brazilian-bum-bum-cream-P404154,https://www.ulta.com/p/brazilian-bum-bum-cream-pimprod2013509,https://www.amazon.com/dp/B00HB6BSEE
Charlotte Tilbury,Hollywood Flawless Filter,charlotte-tilbury-hollywood-flawless-filter,Primer,49.0,USD,https://images.example.com/ct-flawless-filter.jpg,"glow,primer,illuminator",https://www.sephora.com/product/hollywood-flawless-filter-P74000177,https://www.ulta.com/p/hollywood-flawless-filter-pimprod2021801,https://www.amazon.com/dp/B07P9B9RDR
Rare Beauty,Soft Pinch Liquid Blush,rare-beauty-soft-pinch-liquid-blush,Blush,23.0,USD,https://images.example.com/rare-blush.jpg,"longwear,pigmented,selena-gomez",https://www.sephora.com/product/soft-pinch-liquid-blush-P97989794,https://www.ulta.com/p/soft-pinch-liquid-blush-pimprod2034672,https://www.amazon.com/dp/B0B1B6KQ2Q
Fenty Beauty,Gloss Bomb Universal Lip Luminizer,fenty-beauty-gloss-bomb,Lip Gloss,21.0,USD,https://images.example.com/fenty-gloss-bomb.jpg,"universal,shine,non-sticky",https://www.sephora.com/product/gloss-bomb-universal-lip-luminizer-P67988456,https://www.ulta.com/p/gloss-bomb-universal-lip-luminizer-pimprod2022001,https://www.amazon.com/dp/B07HCDV7J4
Tatcha,The Water Cream,tatcha-the-water-cream,Moisturizer,70.0,USD,https://images.example.com/tatcha-water-cream.jpg,"oil-free,hydrating,pores",https://www.sephora.com/product/the-water-cream-P418218,https://www.ulta.com/p/the-water-cream-pimprod2017961,https://www.amazon.com/dp/B071JZ9Z8G
La Roche-Posay,Anthelios Melt-in Milk Sunscreen SPF 60,la-roche-posay-anthelios-melt-in-milk-spf60,Sunscreen,38.99,USD,https://images.example.com/lrp-anthelios.jpg,"broad-spectrum,water-resistant,spf60",https://www.sephora.com/product/anthelios-melt-in-milk-sunscreen-spf-60-P430220,https://www.ulta.com/p/anthelios-melt-in-milk-sunscreen-spf-60-pimprod2010209,https://www.amazon.com/dp/B00X2X2MMS
